as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50kmX4150000000Y2950000000Z0;7.9690863512;49.8693532742;7.6325784075;49.6379348179;7.6103538938;50.0872571678;8.3088100283;50.0997577213;8.3245456556;49.6503016763;TGB101_100kmX4100000000Y2900000000Z0
TGB101_50kmX4200000000Y2950000000Z0;8.6644297682;49.8796587871;8.3245456556;49.6503016763;8.3088100283;50.0997577213;9.007544314;50.1079790234;9.0167812886;49.6584350048;TGB101_100kmX4200000000Y2900000000Z0
TGB101_50kmX4150000000Y3000000000Z0;7.9498807168;50.3187148116;7.6103538938;50.0872571678;7.587600319;50.5365127143;8.2926995909;50.5491502492;8.3088100283;50.0997577213;TGB101_100kmX4100000000Y3000000000Z0
TGB101_50kmX4100000000Y3000000000Z0;7.2483079483;50.3039961142;6.912290358;50.0704806765;6.8829080647;50.5195525248;7.587600319;50.5365127143;7.6103538938;50.0872571678;TGB101_100kmX4100000000Y3000000000Z0
TGB101_50kmX4050000000Y3000000000Z0;6.5471929809;50.2849803814;6.2147333652;50.0494326871;6.1787409381;50.4982742905;6.8829080647;50.5195525248;6.912290358;50.0704806765;TGB101_100kmX4000000000Y3000000000Z0
TGB101_50kmX4050000000Y2950000000Z0;6.5795001358;49.8359817583;6.2498903458;49.6005143654;6.2147333652;50.0494326871;6.912290358;50.0704806765;6.940989983;49.6213376218;TGB101_100kmX4000000000Y2900000000Z0
TGB101_50kmX4300000000Y3000000000Z0;10.0561809567;50.3370549403;9.7064419468;50.1119188925;9.7036442381;50.5614447679;10.4092513495;50.5610984;10.4053879125;50.1115762824;TGB101_100kmX4300000000Y3000000000Z0
TGB101_50kmX4150000000Y3050000000Z0;7.9302153483;50.768014762;7.587600319;50.5365127143;7.5642993858;50.9857082604;8.2762013699;50.9984861781;8.2926995909;50.5491502492;TGB101_100kmX4100000000Y3000000000Z0
TGB101_50kmX4250000000Y2950000000Z0;9.3599900486;49.8857068376;9.0167812886;49.6584350048;9.007544314;50.1079790234;9.7064419468;50.1119188925;9.7091745305;49.6623327017;TGB101_100kmX4200000000Y2900000000Z0
TGB101_50kmX4050000000Y3050000000Z0;6.5141137005;50.7339084616;6.1787409381;50.4982742905;6.1418842456;50.9470456328;6.8528195205;50.9685598158;6.8829080647;50.5195525248;TGB101_100kmX4000000000Y3000000000Z0
TGB101_50kmX4100000000Y2950000000Z0;7.2740724092;49.854792996;6.940989983;49.6213376218;6.912290358;50.0704806765;7.6103538938;50.0872571678;7.6325784075;49.6379348179;TGB101_100kmX4100000000Y2900000000Z0
TGB101_50kmX4200000000Y3050000000Z0;8.63885765;50.7785474442;8.2926995909;50.5491502492;8.2762013699;50.9984861781;8.9884024364;51.0068899951;8.9980872375;50.5574616889;TGB101_100kmX4200000000Y3000000000Z0
TGB101_50kmX4300000000Y3050000000Z0;10.0567202257;50.7865573364;9.7036442381;50.5614447679;9.7007791484;51.0109173583;10.4132078333;51.010567139;10.4092513495;50.5610984;TGB101_100kmX4300000000Y3000000000Z0
TGB101_50kmX4250000000Y2900000000Z0;9.3659057581;49.4361030267;9.025805442;49.2088226391;9.0167812886;49.6584350048;9.7091745305;49.6623327017;9.711844144;49.212679167;TGB101_100kmX4200000000Y2900000000Z0
TGB101_50kmX4250000000Y2850000000Z0;9.3716858315;48.9864279985;9.0346237315;48.7591349314;9.025805442;49.2088226391;9.711844144;49.212679167;9.7144528465;48.76295126;TGB101_100kmX4200000000Y2800000000Z0
TGB101_50kmX4200000000Y2850000000Z0;8.6888313337;48.980507026;8.3549414966;48.7511713443;8.3399188645;49.2007751925;9.025805442;49.2088226391;9.0346237315;48.7591349314;TGB101_100kmX4200000000Y2800000000Z0
TGB101_50kmX4100000000Y2900000000Z0;7.2992410308;49.4055176421;6.9690294668;49.1721166957;6.940989983;49.6213376218;7.6325784075;49.6379348179;7.6542913371;49.1885388526;TGB101_100kmX4100000000Y2900000000Z0
TGB101_50kmX4050000000Y2900000000Z0;6.6110607783;49.3869060246;6.2842394111;49.1515128442;6.2498903458;49.6005143654;6.940989983;49.6213376218;6.9690294668;49.1721166957;TGB101_100kmX4000000000Y2900000000Z0
TGB101_50kmX4050000000Y2850000000Z0;6.6418993825;48.9377465928;6.3178068756;48.7024216185;6.2842394111;49.1515128442;6.9690294668;49.1721166957;6.9964303393;48.7228112179;TGB101_100kmX4000000000Y2800000000Z0
TGB101_50kmX4200000000Y3000000000Z0;8.6517950053;50.3291325226;8.3088100283;50.0997577213;8.2926995909;50.5491502492;8.9980872375;50.5574616889;9.007544314;50.1079790234;TGB101_100kmX4200000000Y3000000000Z0
TGB101_50kmX4250000000Y3000000000Z0;9.3539340904;50.3352464472;9.007544314;50.1079790234;8.9980872375;50.5574616889;9.7036442381;50.5614447679;9.7064419468;50.1119188925;TGB101_100kmX4200000000Y3000000000Z0
TGB101_50kmX4200000000Y2900000000Z0;8.6767720053;49.4301192761;8.3399188645;49.2007751925;8.3245456556;49.6503016763;9.0167812886;49.6584350048;9.025805442;49.2088226391;TGB101_100kmX4200000000Y2900000000Z0
TGB101_50kmX4300000000Y2950000000Z0;10.0556543053;49.8874958414;9.7091745305;49.6623327017;9.7064419468;50.1119188925;10.4053879125;50.1115762824;10.4016144071;49.6619937593;TGB101_100kmX4300000000Y2900000000Z0
TGB101_50kmX4250000000Y3050000000Z0;9.3477330551;50.7847288718;8.9980872375;50.5574616889;8.9884024364;51.0068899951;9.7007791484;51.0109173583;9.7036442381;50.5614447679;TGB101_100kmX4200000000Y3000000000Z0
TGB101_50kmX4150000000Y2900000000Z0;7.9878475355;49.4199232816;7.6542913371;49.1885388526;7.6325784075;49.6379348179;8.3245456556;49.6503016763;8.3399188645;49.2007751925;TGB101_100kmX4100000000Y2900000000Z0
TGB101_50kmX4300000000Y2900000000Z0;10.0551398515;49.437873007;9.711844144;49.212679167;9.7091745305;49.6623327017;10.4016144071;49.6619937593;10.3979278577;49.2123438049;TGB101_100kmX4300000000Y2900000000Z0
TGB101_50kmX4300000000Y2850000000Z0;10.0546371941;48.9881794056;9.7144528465;48.76295126;9.711844144;49.212679167;10.3979278577;49.2123438049;10.394325421;48.762619394;TGB101_100kmX4300000000Y2800000000Z0
TGB101_50kmX4150000000Y2850000000Z0;8.0061788718;48.9704179593;7.6755093853;48.7390624512;7.6542913371;49.1885388526;8.3399188645;49.2007751925;8.3549414966;48.7511713443;TGB101_100kmX4100000000Y2800000000Z0
TGB101_50kmX4100000000Y3050000000Z0;7.2219271786;50.7531337334;6.8829080647;50.5195525248;6.8528195205;50.9685598158;7.5642993858;50.9857082604;7.587600319;50.5365127143;TGB101_100kmX4100000000Y3000000000Z0
TGB101_50kmX4100000000Y2850000000Z0;7.323833371;48.9561633033;6.9964303393;48.7228112179;6.9690294668;49.1721166957;7.6542913371;49.1885388526;7.6755093853;48.7390624512;TGB101_100kmX4100000000Y2800000000Z0
